cardnumber,transactiondate,amount
*1234,08/11/2020,500
*1234,07/12/2020,1500
*1234,09/20/2020,1400
*1234,08/21/2020,1200
*1234,06/20/2020,700
*1234,10/01/2020,800
*1234,05/04/2020,900
*1234,04/10/2020,1100
*4321,08/11/2020,500
*4321,07/12/2020,1500
*4321,09/20/2020,1400
*4321,08/21/2020,1200
*4321,06/20/2020,700
*4321,10/01/2020,800
*4321,05/04/2020,900
*4321,04/10/2020,1100
*3214,08/11/2020,500
*3214,07/12/2020,1500
*3214,09/20/2020,1400
*3214,08/21/2020,1200
*3214,06/20/2020,700
*3214,10/01/2020,800
*3214,05/04/2020,900
*3214,04/10/2020,1100
*2134,08/11/2020,500
*2134,07/12/2020,1500
*2134,09/20/2020,1400
*2134,08/21/2020,1200
*2134,06/20/2020,700
*2134,10/01/2020,800
*2134,05/04/2020,900
*2134,04/10/2020,1100
*1324,08/11/2020,500
*1324,07/12/2020,1500
*1324,09/20/2020,1400
*1324,08/21/2020,1200
*1324,06/20/2020,700
*1324,10/01/2020,800
*1324,05/04/2020,900
*1324,04/10/2020,1100
*2513,08/11/2020,500
*2513,07/12/2020,1500
*2513,09/20/2020,1400
*2513,08/21/2020,1200
*2513,06/20/2020,700
*2513,10/01/2020,800
*2513,05/04/2020,900
*2513,04/10/2020,1100
*5678,08/11/2020,500
*5678,07/12/2020,1500
*5678,09/20/2020,1400
*5678,08/21/2020,1200
*5678,06/20/2020,700
*5678,10/01/2020,800
*5678,05/04/2020,900
*5678,04/10/2020,1100
*6785,08/11/2020,500
*6785,07/12/2020,1500
*6785,09/20/2020,1400
*6785,08/21/2020,1200
*6785,06/20/2020,700
*6785,10/01/2020,800
*6785,05/04/2020,900
*6785,04/10/2020,1100
*5678,08/11/2020,500
*5678,07/12/2020,1500
*5678,09/20/2020,1400
*5678,08/21/2020,1200
*5678,06/20/2020,700
*5678,10/01/2020,800
*5678,05/04/2020,900
*5678,04/10/2020,1100
*8567,08/11/2020,500
*8567,07/12/2020,1500
*8567,09/20/2020,1400
*8567,08/21/2020,1200
*8567,06/20/2020,700
*8567,10/01/2020,800
*8567,05/04/2020,900
*8567,04/10/2020,1100
*2316,08/11/2020,500
*2316,07/12/2020,1500
*2316,09/20/2020,1400
*2316,08/21/2020,1200
*2316,06/20/2020,700
*2316,10/01/2020,800
*2316,05/04/2020,900
*2316,04/10/2020,1100
*8912,08/11/2020,500
*8912,07/12/2020,1500
*8912,09/20/2020,1400
*8912,08/21/2020,1200
*8912,06/20/2020,700
*8912,10/01/2020,800
*8912,05/04/2020,900
*8912,04/10/2020,1100
*1239,08/11/2020,500
*1239,07/12/2020,1500
*1239,09/20/2020,1400
*1239,08/21/2020,1200
*1239,06/20/2020,700
*1239,10/01/2020,800
*1239,05/04/2020,900
*1239,04/10/2020,1100
